AXIOMS Luce.abs_cyclicGridKernel_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.arrivalQuantile_nonneg: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.arrivalQuantile_populationG: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.arrivalQuantile_pos: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.bernoulli_mgf_upper: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.bernoulli_relative_lower_tail: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.bernoulli_relative_upper_tail: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.bernoulli_sum_exp_integrable: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.bernoulli_upper_tail_of_mean_le_half: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.bounded_terminal_logarithmic_kernel: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.categoryAssignmentOfCollection_collectionOfAssignment: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.categoryCollectionOfAssignment_assignmentOfCollection: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.categorySetRootDepth_cycle65: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.category_assignment_card: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.category_assignment_orbit_set: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.category_collection_block_mem: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.category_collection_card: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.category_collection_disjoint: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.category_collection_distinct: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.category_core_actual_sum_reindex: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.category_core_enumeration_injective: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.category_core_enumeration_rank_event: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.category_core_enumeration_restrictions: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.category_core_family_equiv_apply: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.category_core_vertex_equiv_rotate: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.category_factorial_eq_assignment_card: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.category_factorial_eq_assignment_sum: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.category_factorial_expectation_eq_rank_sum: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.category_root_factor_pos: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.category_roots_card: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.category_rotation_factor_ge_one: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.category_set_root_eq_tuple_root: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.category_slot_product: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.centeredPoissonMoment65_expansion: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.centeredPoissonMoment65_one: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.centeredPoissonMoment65_rec: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.centeredPoissonMoment65_zero: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.centered_polynomial_expansion65: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.centered_power_expansion65: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.charFun_derivative_moment_bound: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.charFun_momentTaylor_bound: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.charFun_one_tendsto_of_moments: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.characteristic_integral_l1_bound65: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.clippedSpan68_bounds: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.clippedSpan68_full: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.clipped_unimodal_identity: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.clockArrivalIndicator_independent: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.clockArrivalIndicator_zero_one: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.clockBeforeCount_le_size: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.closedLogCycleWeight_const_mul68: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.closedLogCycleWeight_continuous68: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.closedLogCycleWeight_eq_openPath: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.closedLogCycleWeight_nonneg68: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.closedLogCycleWeight_translate: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.closed_cycle_perturbation68: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.collisionCycleWeight_cons: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.collisionCycleWeight_nonneg: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.collisionCycleWeight_rotate: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.collisionPairSum_mono: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.collisionUnionSum_mono: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.collision_card_complement: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.collision_complement_product_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.collision_core_cycle_test: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.collision_core_cycle_trace: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.collision_core_cycle_two_test: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.collision_core_depth_sum_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.collision_core_harmonic: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.collision_core_matrix_row: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.collision_core_square_sum: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.collision_cycle_test_bound: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.collision_cycle_test_reindex: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.collision_cycle_test_zero_bound: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.collision_cycle_two_test_bound: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.collision_cycle_two_test_zero_bound: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.collision_family_pair_bound: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.collision_log_weight68: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.collision_nearby_card: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.collision_nearby_reciprocal_sum: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.collision_pair_sum_test: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.collision_path_test_bound: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.collision_prod_split: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.collision_product_test_one: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.collision_product_test_two: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.collision_same_corner_distance: [propext, Quot.sound]
AXIOMS Luce.Section6.collision_slot_card_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.collision_two_complement_product_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.collision_two_test_tensor: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.collision_union_le_card_sq: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.collision_varying_matrices_pair_bound: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.common_decay_parameters: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.comparable_depth_rpow_bounds: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.complex_tendsto_of_finite_approximations: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.continuousOn_reflect: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.continuous_box_trace_bound68: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.continuous_box_trace_integral68: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.continuous_gapStartFromNormalized: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.continuous_root_first_coordinate: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.continuous_skeleton_start: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.continuous_trace_first_coordinate: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.continuous_trace_first_coordinate_Ioc68: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.convolutionDensity_bound: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.convolutionDensity_integrable: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.convolutionDensity_integral: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.convolutionDensity_nonneg: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.convolutionDensity_pos65: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.coordinate_mul_gap_product: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.coreCategoryCount_eq_filtered65: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.coreCount_le_windowCount65: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.coreCount_meanApprox65: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.core_category_cycle_sets_disjoint: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.core_category_expectation_eq_family_sum: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.core_category_expectation_eq_rank_sum: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.core_category_ideal_product_eq_family_sum: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.core_category_mean_eq_tuple_sum: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.core_centered_moment_rapid65: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.core_error_tendsto65: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.core_factorial_rapid65: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.core_family_actual_domination: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.core_family_actual_nonneg: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.core_family_bad_sum_bound: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.core_family_block_injective: []
AXIOMS Luce.Section6.core_family_comparison_of_bounds: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.core_family_ideal_le_product: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.core_family_ideal_nonneg: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.core_family_ideal_of_injective: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.core_family_ideal_sum_factors: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.core_family_injective_of_separated: [propext]
AXIOMS Luce.Section6.core_ideal_category_sum_reindex: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.core_log_ratio_error65: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.core_normalized_finite_moments65: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.core_normalized_mixed_moments65: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.core_polynomial_rapid65: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.core_potential_row: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.core_target_mixed_moments65: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.core_tuple_labels_injective_iff: [propext, Quot.sound]
AXIOMS Luce.Section6.cornerCoefficient_logDensity68: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.cornerCoefficient_pos65: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.cornerCoreCount_filtered65: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.cornerDistance_injective67: [propext, Quot.sound]
AXIOMS Luce.Section6.cornerDistance_le_population65: [propext, Quot.sound]
AXIOMS Luce.Section6.cornerDistance_pos67: [propext, Quot.sound]
AXIOMS Luce.Section6.cornerDistance_positive: [propext, Quot.sound]
AXIOMS Luce.Section6.cornerLogDensity68_differentiable: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.cornerLogDensity68_envelope: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.cornerLogDensity68_smooth_envelope: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.cornerLogDensity68_traceDensity: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.cornerQuantileTime_positive: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.corner_potential_pos: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.corner_potential_quotient: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.corner_potential_ratio_power: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.corner_weighted_row_to_potential: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.countApprox65_of_bound: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.countApprox65_of_const_bound: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.covered_filter_card65: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.criticalArrivalCount_measurable: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_arrival_count_card: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_arrival_linear_error: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_arrival_lower_tail: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_arrival_upper_tail: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_arrivals_le_rank: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_block_log_lower: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_block_square_sum: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_block_sum: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_contractCheck: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_corner_choice: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_cutoffs_eventually: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_cycle_count_complement: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_cycle_count_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_cycle_count_split: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_cycle_decay_pos: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_cycle_expectation_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_cycle_kernel_bound: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_cycle_one_drop: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_deleted_harmonic_lower: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_drawn_card: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_drawn_labels: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_early_sum_bound: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_exceptional_weight_absorption: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_full_count: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_full_observation: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_full_probability: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_harmonic_tail_lower: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_interior_contractCheck: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_inv_sq_integral: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_inverse_square_sum: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_label_image: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_log_cycle_exponential: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_log_error_power_bound: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_log_error_sum: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_log_primitive_deriv: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_log_root_sum: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_log_summand_deriv: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_loglog_tendsto: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_main_block_error_sum: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_main_error_sum: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_midpoint_contractCheck: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_missing_expectation_upper: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_path_variation_sum: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_pole_arrival_integral: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_pole_arrival_intervalIntegrable: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_pole_weight_integral: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_pole_weight_intervalIntegrable: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_predictable_error: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_predictable_integral_error: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_predictable_sum_expectation: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_probability_reference_error: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_probe_arrival_lower: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_probe_arrival_upper: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_probe_log: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_raceDraw_eq_rank_symm: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_range_decay: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_rank_le_arrivals: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_reciprocal_error: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_reference_error_split: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_reference_mass_bound: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_reference_row_bounds: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_reference_row_mass: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_reference_row_sum: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_reference_sum_integral: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_remaining_expectation_upper: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_remaining_harmonic_lower: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_remaining_survival_bound: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_retained_count_eq_subtype: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_retained_expectation: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_retained_probability_le_matrix: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_retained_probability_zero: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_retained_sum_bound: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_sampled_power_sum: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_shift_log_bounds: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_tuple_weight_sum: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_vertex_expectation_of_rates: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.critical_weighted_vertex_sum: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.crossDepthError_le_two: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.crossDepthError_nonneg: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.cross_depth_relative_transport: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.cross_depth_uniform_transport: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.cycleCount_meanApprox65: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.cycle_closing_potential_bound: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.cycle_count_at_maximum_eq_indicator: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.cycle_edge_potential_bound: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.cycle_exponential_moment68: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.cycle_family_single_test_bound: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.cycle_large_edge_potential_bound: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.cycle_range_moment68: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.cycle_vertex_envelope_lintegral: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.cycle_vertex_probability_le_matrix_rows: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deletedD_le_populationD: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deletedG_le_populationG: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deletedGapKernel_le_earlier_survival: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deletedGapKernel_le_earlier_survival_ae: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deleted_arrival_relative_tails: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deleted_arrival_window_mean_lower: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deleted_arrivals_add_survivors: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deleted_arrivals_le_beforeCount_of_lt: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deleted_beforeCount_add_survivors_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deleted_beforeCount_le_arrivals: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deleted_before_count_upper_tail: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deleted_gapStart_gt_imp_arrivals_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deleted_gap_moment_le_earlier_survival: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deleted_gap_rate_eq_surviving_weight: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deleted_gap_rate_eq_surviving_weight_ae: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deleted_gap_start_relative_early_arrival: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deleted_gap_start_relative_early_survivor: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deleted_gap_start_relative_late_arrival: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deleted_gap_start_relative_late_survivor: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deleted_gap_start_tail_of_arrival_mean: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deleted_gap_start_tail_of_survivor_mean: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deleted_gap_start_tail_of_survivor_mean_sharp: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deleted_joint_window_probability: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deleted_kernel_Lp_exponent_mono: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deleted_kernel_Lp_of_rate_floor: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deleted_kernel_eLpNorm_eq_moment: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deleted_kernel_eLpNorm_le_of_moment: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deleted_kernel_eLpNorm_le_one: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deleted_kernel_le_insertionDominationMatrix: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deleted_kernel_memLp: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deleted_kernel_moment_bound_of_rate_floor: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deleted_kernel_moment_sum_bound: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deleted_kernel_power_integrable: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deleted_kernel_product_integrable: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deleted_kernel_product_le_Lp: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deleted_kernel_product_order_sum: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deleted_kernel_product_second_moment_bound: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deleted_kernel_product_square_integrable: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deleted_kernel_product_square_le_Lp: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deleted_order_gap_moment_bound: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deleted_order_integral_partition: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deleted_order_kernel_moment_bound: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deleted_order_kernel_product_integral: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deleted_order_normalized_integral: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deleted_remaining_weight_chebyshev: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deleted_remaining_weight_mean: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deleted_remaining_weight_variance: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deleted_survival_envelope_of_bounds: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deleted_survival_integrable: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deleted_survival_integral_le_one: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deleted_survival_integral_partition: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deleted_survival_split: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deleted_surviving_weight_antitone: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deleted_survivor_mean_identity: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.Section6.deleted_survivor_relative_tails: [propext, Classical.choice, Quot.sound]
